target,1rank,2rank,3rank,4rank,5rank,6rank,7rank
1338,1338,2042,2541,347,1864,2006,1944
887,887,286,367,395,1263,1801,1164
393,393,2085,2047,2682,2241,1346,794
2533,2533,901,813,1172,607,1257,2453
2311,2311,903,2660,1452,435,1390,2293
994,994,417,2347,1830,558,450,1121
2075,2075,1840,781,737,709,662,1084
2083,2083,28,2354,1902,1614,2666,948
392,392,1698,2686,1569,15,1929,190
2486,515,2486,12,935,247,1409,618
382,382,2360,1204,148,292,1897,320
702,2629,530,1690,2506,702,136,1018
1460,1460,1327,908,2714,659,2594,2353
791,791,1867,612,1997,1071,608,660
1439,1439,1201,472,409,1605,556,426
1459,1459,864,1841,1786,1738,1781,291
1939,2575,1939,561,1736,2480,424,1568
2506,2629,530,1690,2506,702,136,1018
1396,492,1321,2144,1915,2584,373,1896
1382,1382,1877,2713,2608,1806,467,621
1014,1634,1014,920,2450,1241,21,1628
898,898,1387,1761,162,280,850,2297
90,90,1649,2564,2196,2471,1901,977
897,897,2567,1194,1290,456,1259,2030
425,1576,425,2620,2306,2544,2112,1700
1753,1753,2068,81,1401,2258,578,2707
67,1898,1575,67,1051,1066,1924,2171
1134,1134,1805,1112,1880,2132,310,961
516,516,1742,422,889,1033,785,1419
1486,1486,2118,2272,13,1581,1693,978
2351,2351,1647,1003,2065,683,620,2650
2310,2310,2485,331,642,1973,631,389
175,175,1776,926,2561,2415,2118,2536
1547,1547,1806,2630,1877,452,2213,2713
1426,1426,1845,1894,778,1784,140,529
1598,1598,2118,1964,339,481,1471,2536
1289,238,1998,1289,1696,2592,2674,717
1879,1879,551,2380,2255,2435,1410,2427
1599,1599,2249,1009,0,1370,1298,960
1880,1880,1805,1134,1112,1407,2103,2078
607,607,2282,786,1389,183,1571,947
610,610,552,10,369,1175,2583,2010
1228,1228,1813,12,2259,24,935,91
1229,1229,2612,141,356,371,380,1228
611,611,906,1073,1161,1337,922,2608
1076,1076,1582,896,1218,1455,2513,1084
1276,868,1276,1762,319,1199,1295,2251
1629,1629,1392,698,2214,1339,54,463
2726,2726,2538,322,715,440,1155,2453
282,282,1423,325,2162,2686,421,984
1643,1643,2139,727,1900,2567,474,2446
1597,1597,1869,2087,1082,1808,1546,1320
1868,1868,1841,2064,1760,92,2189,1444
1596,1596,825,603,2540,2431,226,1062
638,1750,257,638,1828,2,47,1233
354,354,1718,1924,1206,779,1579,1603
2378,2378,714,446,1274,621,2595,1843
805,1543,805,363,815,2285,1317,424
1691,1691,146,208,71,2232,2503,537
1544,1544,110,1082,1768,595,598,1722
2317,2317,2036,966,405,2697,1600,1781
1659,1659,1130,1306,2225,222,275,1247
1087,1087,2509,844,1967,1376,1089,644
2275,1713,2275,953,274,1607,1772,639
2276,1042,1208,1633,2274,188,2322,2276
2277,2277,2212,640,2097,1324,1118,2203
668,668,169,1509,1177,343,1827,321
2051,1704,2051,2586,2033,1308,1050,1725
2405,2405,944,2167,2657,1059,1209,2223
570,1909,570,1047,1813,1320,903,2576
810,810,1799,266,199,2142,2715,1226
205,567,205,1336,1081,229,1298,1188
2595,2595,27,2437,1184,2630,452,2213
1543,1543,805,363,815,2285,1317,424
2571,2571,52,1892,2022,2208,770,233
1825,915,1825,96,241,487,690,269
841,1772,841,1587,2382,397,1408,498
2580,2580,2161,2203,2564,2212,732,2624
783,783,1184,2437,1175,10,1591,657
601,601,1428,1217,1518,1831,2226,367
2443,2443,366,834,1350,1039,341,819
881,881,2376,2373,1707,2252,1791,696
2524,313,1635,2524,703,1301,1433,394
651,651,2222,590,2086,2635,1651,2101
2115,2115,2710,949,1770,1214,2421,2225
2354,2083,28,2354,1902,1614,2666,948
1406,1461,1406,1952,403,790,766,2643
1166,1166,683,1730,1792,2660,352,1688
981,967,981,75,130,88,753,2336
778,1894,778,2609,2645,1025,645,549
1118,1324,1118,429,2093,301,220,2547
1117,1117,2146,1020,577,1152,2663,630
1834,1834,639,2520,964,1434,308,1605
2679,2679,643,977,2644,2321,943,1570
1309,1309,982,2332,188,2276,1208,2322
1310,1310,1975,2687,2589,200,14,371
1307,923,1307,2730,416,1302,170,1317
1308,1050,1308,2066,1916,1368,2442,911
2687,2687,1975,200,2589,14,673,669
2488,2488,1211,1921,553,444,2006,999
2526,2526,991,1008,2691,2195,2705,1019
1135,1135,2724,2278,2318,2509,831,2523
2557,2557,414,2142,2135,2185,2028,1843
413,492,1321,2144,1915,2584,373,1896
1077,1077,2272,1439,2305,1581,1693,893
313,313,1635,2524,703,1301,1433,394
2648,2596,2361,2648,1395,1824,2636,1051
1626,1626,199,1806,266,936,1547,1226
852,852,1845,1046,140,1889,1513,695
1648,1342,2207,489,1480,1648,2529,550
1983,1983,48,1239,2436,325,1423,338
961,961,595,312,280,112,850,1387
1967,1376,1967,2404,2463,1087,2394,1491
775,2263,775,404,984,2639,2501,2412
2532,2532,672,2551,1441,249,2418,2022
1151,877,1151,464,1369,1527,1329,2031
2400,3,2324,519,1040,2400,2049,1332
2531,492,1321,2144,1915,2584,373,1896
2398,2398,2647,1683,616,873,1655,2371
2530,848,2530,946,1265,2706,643,845
2529,1342,2207,489,1480,1648,2529,550
2528,2528,1490,867,422,1431,1944,1226
885,885,2332,2274,1042,2276,2368,2322
1662,1662,308,1408,1499,500,604,841
285,285,1671,572,1679,502,1585,2633
286,286,1735,108,2683,316,497,1892
251,2057,251,2054,2121,2445,1697,1318
250,250,1186,1464,2292,2540,2445,2677
249,249,174,1225,1777,429,1388,672
118,688,93,1935,243,118,1250,1853
2064,2064,92,37,277,1868,2698,250
781,781,2231,1225,900,301,429,2279
2640,2640,1375,1602,1068,2413,1113,126
563,563,2035,2023,1407,2103,999,2006
581,238,1998,1289,1696,2592,2674,717
1173,492,1321,2144,1915,2584,373,1896
1489,1489,494,835,1718,537,2655,1197
115,2092,115,1673,442,1227,2205,1971
1853,1853,1935,93,1250,243,118,688
1462,1462,1380,2370,1330,589,1262,1589
2708,163,1010,1321,2411,2493,571,408
2618,1219,741,1165,631,1973,2618,2416
1585,1585,2410,2286,2508,1775,687,1414
1699,1699,529,1248,2568,964,235,2266
349,349,1657,1472,602,576,1229,967
350,2512,350,943,827,1162,1310,2321
1196,1355,1299,109,1196,403,335,2053
1194,2727,2030,1259,1290,1194,1266,456
2050,2050,1872,1520,33,2262,2569,2560
1193,1592,2548,619,1507,1193,1692,1092
2048,1701,2048,1308,1130,1050,2710,975
1195,163,1010,1321,2411,2493,571,408
2049,164,78,63,1942,2049,212,1376
574,163,1010,1321,2411,2493,571,408
575,294,575,2423,1934,84,674,1060
576,576,127,1043,271,423,137,2230
1208,1042,1208,1633,2274,188,2322,2276
1379,1379,2142,810,1799,414,1400,622
1774,1774,1492,979,178,1297,353,2303
1812,1812,2510,316,497,2721,213,938
1844,163,1010,1321,2411,2493,571,408
2547,2093,2547,829,2601,1118,2097,1324
1843,1843,467,1132,1430,2630,857,2713
1842,1842,2033,1725,65,2495,275,2442
1192,1192,1341,811,1502,2061,336,1415
2188,2188,1746,575,294,25,886,362
547,547,1551,588,525,145,1613,585
1767,1767,588,2259,24,2654,1316,1424
546,546,54,762,2197,768,1676,1551
1931,1931,1806,1547,634,1944,1877,2630
2429,2429,1843,1506,414,990,1803,434
2682,2047,2682,2085,2140,2220,2129,1432
1953,1953,1537,259,1905,1191,1359,2231
2671,2671,1306,1130,1725,1842,2033,1375
770,1568,2122,1736,770,1001,1103,1225
2459,2459,192,151,734,1630,1340,2319
612,1997,612,1867,1160,1649,791,2089
2160,2160,1615,1176,56,1569,1576,425
2197,2197,585,2015,31,1452,85,1698
2358,2358,1074,1435,828,1819,1391,1264
2389,2389,617,2663,2541,2646,2558,1117
664,664,1261,2411,2552,1500,1895,1740
710,710,2626,538,2667,1105,2688,477
708,513,708,2503,669,419,370,1980
1705,1705,635,2518,1081,1026,1225,2058
1944,1944,1931,2721,1996,213,1809,167
1007,1007,2213,613,1806,307,1547,2474
107,107,1210,1561,1728,805,190,585
2215,2215,400,1089,1025,2070,60,1982
1203,1203,1885,2722,514,979,1492,1615
628,628,877,176,1974,1151,665,2403
1202,1202,1269,206,1063,2261,1265,946
1204,1204,2368,382,2360,763,885,1210
1176,2160,1615,1176,56,1569,1576,425
826,826,2167,1263,2510,1812,2683,70
1345,1345,1012,20,742,925,2243,466
592,592,2705,2195,490,148,320,433
2292,2292,2349,1257,1186,1464,250,2142
741,1219,741,1165,631,1973,2618,2416
1147,1147,197,597,2163,2344,334,2412
2554,571,388,1230,1883,2554,2286,1775
123,123,706,537,401,580,2545,94
360,360,2388,1279,428,2267,2124,471
2360,382,2360,1204,148,292,1897,320
1179,899,1179,2146,22,577,1152,1020
1188,1188,56,2112,1700,2306,2620,2544
2396,2396,1913,2331,1555,2161,2483,2010
750,750,789,1548,2362,2180,32,2369
1230,571,388,1230,1883,2554,2286,1775
669,669,2018,1071,612,1208,1633,2103
2665,2665,320,490,1000,433,1897,148
1907,1907,1748,2432,1267,2435,545,2027
1416,163,1010,1321,2411,2493,571,408
1855,498,99,1855,1538,841,744,1772
1407,2103,1407,1880,146,1176,2160,1615
2308,2308,1053,2668,1114,1389,715,1499
2162,2162,2392,2686,282,2263,775,404
786,786,1389,962,950,1053,2668,1268
1008,1008,2691,2526,999,2423,2705,2195
2587,2587,2218,1035,600,720,590,283
2357,1200,2357,2625,106,1055,913,31
734,734,151,2302,2375,1469,1630,2610
850,850,1387,2601,961,2549,2110,2242
851,851,314,526,2416,1577,1816,1466
2608,2608,1877,2713,1359,2583,1382,467
1311,1311,2327,782,210,1093,527,1747
1102,1102,363,2231,108,347,1773,15
2303,2017,211,2303,1314,1450,2598,378
2322,1042,1208,1633,2274,188,2322,2276
2233,2233,192,2375,1871,911,479,2066
203,203,432,1546,1627,1242,917,1717
227,227,691,2052,1832,1362,459,132
1558,1558,1720,801,770,1324,2601,1001
479,479,2162,2375,2233,984,2263,2009
1238,1238,2630,452,1547,266,199,1132
1562,1562,778,1392,1299,2013,109,1355
463,463,89,1372,403,1474,45,335
464,464,1527,1897,320,148,490,1000
1033,1033,785,928,1443,679,263,1072
1034,1034,1823,2535,122,2329,1468,2492
764,764,624,74,338,533,673,977
356,356,469,1421,1070,1229,1960,753
886,362,1553,886,1250,688,118,84
1493,1493,1965,2585,1479,857,1711,2117
1494,1494,1335,476,2655,1066,2260,2148
499,1679,499,909,1723,2723,2659,535
498,498,99,1855,1538,841,744,1772
1010,1010,2681,2463,1815,1735,2670,999
1550,1550,233,938,1890,836,1360,2346
2375,2375,2058,151,734,1026,2372,876
1330,1330,589,2256,757,1462,1584,1583
408,408,2134,2574,1720,801,1558,74
571,571,388,1230,1883,2554,2286,1775
2493,2493,1901,2196,1154,2706,482,1833
2411,2411,2069,2615,433,1019,991,2613
1321,492,1321,2144,1915,2584,373,1896
2204,2204,82,125,1455,605,655,2074
2494,212,2494,752,1715,2071,164,1942
835,835,2252,537,845,1489,57,1556
1755,1755,1388,1777,777,1716,1732,2372
964,964,461,1605,1125,1248,1349,1834
1657,1657,349,663,2628,1472,602,1341
1079,1079,2104,737,1469,709,2590,1630
2566,2566,2480,1303,2169,543,2621,1667
1658,1658,2450,920,63,1942,164,2049
2613,2613,1625,1848,972,58,1535,1019
2614,2614,2365,174,249,2242,2366,2190
2615,2615,1984,2411,1673,2205,137,2247
1674,492,1321,2144,1915,2584,373,1896
2551,2551,1646,1388,1777,1116,2381,348
1987,2433,1987,296,793,693,2039,2014
1986,1986,646,2636,2298,477,865,2685
1985,1985,1205,1584,2644,1483,2330,1352
1498,1498,2097,2295,184,1764,2093,2547
1984,1984,2615,1539,1048,991,511,2411
1119,1119,1182,644,2234,90,1417,1294
890,890,776,454,132,1303,2621,1975
762,54,762,546,525,1551,1100,1676
755,755,1237,1548,2180,1906,1755,174
1465,1465,810,1799,266,199,1081,634
2205,2205,1959,1126,115,2092,2615,2411
2385,2385,752,2494,1089,212,2020,249
11,11,1453,1274,2521,1972,1479,374
1797,1797,1934,1019,937,2295,1466,575
1800,238,1998,1289,1696,2592,2674,717
1799,810,1799,266,199,2142,2715,1226
1798,1798,228,1037,802,1376,1265,946
50,163,1010,1321,2411,2493,571,408
2052,2052,227,459,132,1795,1728,514
2673,2673,863,1696,1289,1739,278,1998
2507,1224,2689,2507,2215,400,1304,510
1445,1445,931,121,1943,548,878,1005
828,828,891,2043,1623,2402,2358,318
1381,1381,830,2404,1491,2394,2613,1625
959,2407,1167,819,959,859,160,61
1760,1760,1868,119,2064,1841,892,260
1367,1367,1391,1925,1264,2402,2218,318
958,492,1321,2144,1915,2584,373,1896
949,1214,949,1770,626,2115,483,1347
956,1354,2573,952,2341,2016,956,234
946,946,1265,2394,1764,2404,991,2367
947,947,1525,603,1090,2638,501,1743
722,1385,722,2542,2709,1136,533,74
948,2083,28,2354,1902,1614,2666,948
950,950,2505,1389,786,956,952,2284
951,492,1321,2144,1915,2584,373,1896
957,957,2294,1709,891,1831,2454,252
952,1354,2573,952,2341,2016,956,234
953,953,2275,1713,445,81,2438,578
955,955,444,1679,2415,499,2561,1921
954,492,1321,2144,1915,2584,373,1896
1766,1766,545,713,1177,602,980,6
1513,1513,2326,2090,1541,366,725,1327
1517,304,1517,712,770,1568,1736,1001
1516,974,315,1516,304,418,218,1517
1515,1515,533,74,1437,1128,1136,2362
1514,1514,2110,2190,1473,2242,2366,2696
1519,1519,249,174,1356,900,1225,429
281,659,281,1949,603,2540,2638,1090
1518,1518,1217,1367,1785,1391,2685,1977
916,2237,1914,916,1850,1332,1876,365
433,433,592,2665,2195,2705,148,490
2174,1268,1859,2174,1689,1145,962,584
407,2639,407,2501,1569,540,984,2060
723,723,888,1656,186,1319,1364,49
2116,1810,2116,513,2598,1572,1450,1921
967,967,981,75,130,88,753,2336
2014,2336,2014,1908,967,1987,1647,2732
2015,2015,2197,2087,98,525,903,1551
2016,1354,2573,952,2341,2016,956,234
2017,2017,211,2303,1314,1450,2598,378
2018,1240,2018,2268,2040,1649,2730,146
2020,2020,429,781,276,644,249,1324
2019,2019,2089,112,1390,139,418,312
2013,2013,1962,1052,2053,767,2390,1378
2426,2426,1158,401,2496,580,1044,2462
1125,461,1125,1248,1349,2377,964,129
1632,1632,2046,2355,1618,1068,1060,2125
2623,2623,306,1313,2375,1627,1368,2009
1055,1200,2357,2625,106,1055,913,31
1056,1138,1056,1476,493,2033,158,647
314,314,263,2094,2320,2059,536,1963
1057,1057,677,18,2334,2205,2081,2615
1133,1133,2339,332,310,1069,1023,675
1270,1270,214,297,834,341,1872,1138
2516,2516,1845,2241,2441,245,1426,2085
117,163,1010,1321,2411,2493,571,408
531,531,859,61,2281,2495,974,2242
1415,1415,746,689,554,1502,904,2157
362,362,1553,886,1250,688,118,84
2517,2517,1216,223,122,1653,2280,99
204,204,2582,2223,1944,614,634,1554
2515,2515,366,2064,1464,250,1186,566
2519,2519,1087,1293,1243,789,2626,919
2518,2518,2084,2559,1768,2113,595,1705
447,447,2097,2163,2547,2093,711,2712
443,443,1912,485,1656,430,949,246
445,445,1469,681,1247,151,1417,734
449,163,1010,1321,2411,2493,571,408
448,448,907,999,541,1732,2705,1594
446,446,621,1877,2713,1881,2662,1711
444,444,2723,1577,2416,1817,955,945
1889,1889,2077,1786,1005,140,2189,1444
1074,1074,1982,891,1146,2358,2574,965
81,81,681,1447,1314,1777,1388,1519
2641,2641,1968,1017,2119,1916,604,911
1704,1704,2051,2586,2033,1308,1050,1725
492,492,1321,2144,1915,2584,373,1896
381,163,1010,1321,2411,2493,571,408
490,490,148,320,1000,1897,1208,2060
489,1342,2207,489,1480,1648,2529,550
488,488,2031,1027,507,1061,460,2131
963,963,290,978,1693,1581,254,2441
379,753,765,379,1693,319,1642,1762
380,371,380,1229,460,1850,1961,2602
491,757,2256,1583,491,1584,2257,1874
486,960,2316,1377,486,2237,1654,916
487,915,1825,96,241,487,690,269
466,466,1758,189,2687,2589,759,134
899,899,1179,2146,22,577,1152,1020
1835,492,1321,2144,1915,2584,373,1896
1836,1836,673,2366,2190,612,454,867
1837,1837,222,2225,264,1659,884,16
478,478,1957,2478,629,1135,2215,290
1838,1838,309,1964,1471,1273,1128,993
884,945,884,2278,1492,1237,913,178
2688,865,477,2688,1364,1865,1849,1986
2085,2085,393,2682,2047,218,794,2241
2086,2086,2635,847,2218,2369,265,969
2590,2590,2564,1079,1970,1455,2471,2104
794,794,911,718,1705,2518,2619,1198
793,2433,1987,296,793,693,2039,2014
1472,1472,423,349,2041,820,1177,1542
460,2602,1027,460,1961,685,302,464
201,201,1429,2306,1576,2544,2620,1885
202,1478,202,2657,1059,2495,2110,2366
2458,2458,1390,139,531,859,61,2582
1268,1268,1859,2174,1689,1145,962,584
2371,2398,2647,1683,616,873,1655,2371
2127,2127,338,1983,368,1038,1673,1857
1210,107,1210,1561,1728,805,190,585
503,1661,503,569,1088,375,2003,1321
1032,1032,2113,162,2318,1258,1698,385
1638,337,149,2182,539,1638,1744,1463
1639,902,1639,2646,717,1903,581,1739
2054,2054,1161,1337,251,2057,2701,1226
1791,1791,1129,1063,206,2651,1741,1892
1885,1885,2160,1176,1615,979,170,201
494,494,1070,1489,1202,262,806,1870
15,15,2692,1698,1929,758,2084,436
933,933,761,2618,1165,631,628,1973
1792,1688,1792,1730,2710,1277,1508,796
1732,1732,56,1755,2071,2322,2274,2276
2271,2271,1487,2045,2287,2642,2150,2493
863,863,1403,2673,1628,21,245,1749
237,237,2686,2009,1551,525,926,145
665,665,176,2403,1974,2360,1527,382
1936,1936,2556,555,49,1323,468,1047
310,310,1133,2059,1716,2339,332,777
818,818,384,1059,1324,2657,1118,439
1073,1073,611,810,1799,1337,2378,922
89,89,1853,702,136,1690,1876,530
1865,1865,1849,1366,481,13,865,122
1866,1866,1910,45,1474,937,495,1023
1137,1137,253,1619,2163,447,162,2297
2082,2082,1336,1608,1465,1081,205,567
1222,1222,2421,1630,2068,2319,2459,1485
529,529,191,216,1784,2609,235,2266
2280,2517,1216,223,122,1653,2280,99
2437,2437,2595,1430,10,783,714,613
1964,1838,309,1964,1471,1273,1128,993
1963,58,1963,637,51,1535,1848,972
1641,1641,352,2319,159,1306,975,2105
143,143,798,472,2390,2158,2576,1999
358,598,358,961,2087,1082,288,110
934,934,441,1670,837,2178,1156,692
540,540,1325,675,470,1763,849,1716
2661,2661,1890,982,1325,2643,675,540
1346,1346,1340,582,944,2495,138,2346
2111,2111,2377,1731,934,837,441,1670
1945,1945,283,2053,2377,1050,1128,2226
2178,934,441,1670,837,2178,1156,692
2143,2143,821,487,241,690,269,96
1793,1793,351,1806,1007,1547,2474,1714
485,485,1912,411,1595,2165,1818,443
2440,8,1578,2440,345,1,2201,1814
2441,2441,59,290,325,321,162,2241
728,728,160,1136,2709,1765,177,997
1859,1268,1859,2174,1689,1145,962,584
866,866,2126,424,2208,2460,1155,2575
1360,1360,1952,1550,2342,790,2053,1052
2412,2412,879,334,984,775,2263,836
1349,1349,1125,461,718,1989,410,595
1348,1348,2641,2119,1017,1968,604,1449
1347,1347,1719,949,1770,1214,2421,681
975,975,1606,1776,2048,1098,352,1701
2108,2108,2026,398,2349,1464,1186,333
1961,2602,1027,460,1961,685,302,464
156,1756,156,109,1355,2222,1196,1299
368,368,1038,474,727,1900,1643,2100
252,252,632,1016,1031,1698,2372,876
1038,368,1038,474,727,1900,1643,2100
1037,1037,1066,1234,1798,1482,2361,2175
1650,1650,869,2130,1528,2575,2368,132
2619,2619,656,15,2414,1609,295,145
1670,934,441,1670,837,2178,1156,692
1995,1995,1707,1010,2173,1940,2063,1202
1686,2325,2448,910,2406,1686,1745,1266
385,385,1618,1032,1393,2543,2078,2113
2107,2107,311,1957,730,2294,1509,290
2632,2632,1572,1236,42,1082,110,1810
178,1492,178,1561,1569,884,945,2009
341,341,1842,2033,1725,1671,2167,306
1508,2244,1378,1508,1948,1213,1532,1730
2171,1354,2573,952,2341,2016,956,234
1714,1714,2599,1174,1793,614,2474,517
1726,1726,1871,217,1585,2191,2288,1252
1108,1108,2493,2196,1901,1218,1947,1833
2106,2106,2217,122,1141,1292,505,1394
2224,2224,114,2091,1588,1433,313,394
1586,1586,1598,870,256,1450,1838,2415
2356,163,1010,1321,2411,2493,571,408
2407,2407,1167,819,959,859,160,61
2406,2325,2448,910,2406,1686,1745,1266
2408,1675,2408,378,24,2259,2654,1950
2537,2537,1187,1534,1829,1397,599,1981
721,721,2007,1979,2577,906,875,2558
2347,994,417,2347,1830,558,450,1121
2172,512,1563,2172,1417,402,2089,2564
551,551,2255,2427,1963,1535,1848,1879
1139,1139,1068,2511,1688,2671,1891,1701
2520,2520,639,1834,192,709,931,1840
437,437,2077,1382,594,2664,2189,1444
744,744,1089,524,1855,99,498,1939
627,627,867,1431,1716,561,2059,1558
2007,2007,2577,721,207,2558,875,2677
324,324,317,372,2072,2383,1808,1067
2304,2304,1924,471,1206,2239,779,354
2268,1240,2018,2268,2040,1649,2730,146
1312,1312,687,572,945,884,1816,1041
2446,2446,911,794,2641,2337,1308,1643
2612,141,2612,774,1474,1228,45,2602
654,654,1906,2289,592,382,2360,1603
404,2263,775,404,984,2639,2501,2412
1408,1408,841,1049,692,1662,2156,1772
1058,1058,949,1214,1770,1820,2244,1508
2102,2246,2102,2027,1679,499,2262,1373
2631,2631,1523,628,1203,1297,292,1774
2701,2701,2054,1318,517,1882,1161,1337
559,559,1418,2059,2712,2320,2318,1548
1252,1252,2191,1123,2503,420,1250,1935
1251,2624,1251,597,512,1563,2172,2699
1250,688,93,1935,243,118,1250,1853
1249,2553,2328,1249,1320,2305,2660,1869
1248,1248,129,461,1125,595,1768,573
1246,1342,2207,489,1480,1648,2529,550
1253,1253,1560,2407,1964,819,959,1471
1247,1247,1970,445,430,1858,2419,246
562,562,2065,2123,773,733,738,1394
1405,965,2184,1405,1862,849,2532,801
323,323,767,2167,2066,1672,2472,1106
760,760,1242,1424,2693,1046,279,1094
322,322,1922,989,2536,2726,2538,2415
1646,1646,2551,1388,1777,1116,849,1045
321,321,2686,1235,1100,145,392,295
1495,198,1495,1305,1113,2413,955,195
966,966,2036,1781,980,2317,6,864
625,625,415,527,100,2327,560,383
39,137,2230,39,2247,602,21,1539
935,935,1228,2486,515,1802,12,1813
2190,1473,2242,2190,2366,2110,2089,1387
2125,2125,1049,692,2340,378,327,741
1716,777,1716,1996,213,982,1353,2721
1715,1715,212,2494,1815,2681,2071,752
1845,1845,2516,1426,656,1100,1894,1392
1948,1028,988,1446,1213,1948,1532,658
1949,1949,787,659,281,374,1943,614
1950,1950,1763,470,540,1325,675,660
594,594,2490,1481,621,446,2474,2715
2093,2093,2547,829,2601,1118,2097,1324
347,347,541,1189,2344,1559,2696,1944
1895,1895,2418,1060,1116,2163,2475,2113
1896,492,1321,2144,1915,2584,373,1896
1894,1894,778,2609,2645,1025,645,549
1898,1898,1575,67,1051,1066,1924,2171
1049,1049,692,1719,1401,397,1156,2125
1897,490,148,320,1000,1897,1208,2060
1051,1898,1575,67,1051,1066,1924,2171
1050,1050,1308,2066,1916,1368,2442,911
790,790,1360,1406,1461,2643,1355,1425
1523,1523,2501,407,2639,979,351,1569
1848,58,1963,637,51,1535,1848,972
1637,913,1637,1968,1059,222,2119,2657
1827,1827,186,888,2694,668,2422,1684
1110,1110,907,735,1502,2037,1501,1192
2514,2514,400,2215,713,1950,1763,1636
2513,2513,1958,595,1582,1191,2273,829
153,153,2377,2096,1201,2355,676,1448
715,715,2538,2669,1783,1157,2222,2726
1849,1865,1849,1366,481,13,865,122
120,120,1437,2012,680,970,475,7
1272,1272,1122,794,2307,2391,856,192
2508,2508,2286,1775,886,362,1252,1900
1136,1136,722,2204,1385,82,125,1515
2684,2684,1926,1977,1785,308,2178,2158
2284,1354,2573,952,2341,2016,956,234
2283,163,1010,1321,2411,2493,571,408
2282,2282,1062,2233,607,1131,2585,2075
2281,2281,2471,2564,2079,859,61,531
2297,2297,850,898,1387,280,1349,2377
355,355,2474,2630,452,2120,30,810
45,1474,45,1866,702,530,2506,2612
2675,2675,273,2512,350,2578,422,1071
43,43,2262,2672,1918,214,678,285
44,44,925,742,1345,1012,2424,1262
672,2532,672,2551,1441,249,2418,2022
681,681,81,1485,445,1469,1447,737
1335,1335,1966,376,1494,1283,1620,907
2650,2650,588,926,145,427,1424,237
1993,1993,2248,340,959,1167,819,2407
42,42,2568,598,358,419,1993,2609
275,1533,2442,1368,275,2002,913,1478
1329,1369,1329,1897,1000,148,320,490
274,274,1607,2671,1366,1167,2407,959
1131,1131,2585,610,2166,857,2437,552
2211,2211,1086,1183,2159,2422,336,2281
475,475,256,917,1021,1515,509,1292
1484,1484,1120,1270,1489,705,2627,1357
1971,1971,1854,1673,2092,2615,2316,960
170,170,749,188,2274,1042,1885,1633
1603,1603,267,176,2403,1974,665,2289
2088,2088,492,954,473,2144,862,1386
293,293,543,2487,2494,212,890,776
896,896,1076,2073,1582,1470,1722,1218
388,571,388,1230,1883,2554,2286,1775
387,387,2677,1255,872,2577,434,1780
2567,2567,335,2337,1643,948,2083,364
1350,1350,2062,2226,1128,938,306,1671
1020,2146,1020,1186,1117,1571,1464,250
2009,2009,2132,178,1492,208,237,1980
1174,1174,614,2054,2008,1714,1697,2467
941,941,1135,1700,1576,2112,2544,425
1819,1819,1962,1982,1286,61,531,859
2706,2706,2493,2530,848,1241,1498,2423
2313,2313,398,2108,2376,2499,763,2467
16,16,1485,1170,1719,2382,397,1324
523,523,1054,1589,1120,2711,1994,479
520,520,1007,2213,116,1626,686,1024
521,521,653,548,731,2185,875,1943
522,522,1039,826,1676,2443,1680,94
524,524,744,1942,164,63,2049,842
221,221,1537,1773,2231,436,711,2500
60,2070,60,1275,1528,400,2215,2467
2482,2498,2482,2494,212,587,1682,2552
1306,1306,297,1271,1659,822,1366,2671
1101,1101,1260,2226,233,2571,1871,461
1100,1100,321,1390,247,139,762,54
1645,1645,641,602,1628,1403,21,2628
1644,1644,1534,1762,2224,868,1276,83
1607,274,1607,2671,1366,1167,2407,959
789,750,789,1548,2362,2180,32,2369
1060,1060,2113,2163,1895,1059,1618,2601
2053,1052,2053,2699,719,1360,2576,1106
1920,1920,2009,926,1627,1546,1522,2415
1919,1919,1210,107,1204,156,1756,335
690,915,1825,96,241,487,690,269
1814,8,1578,2440,345,1,2201,1814
58,58,1963,637,51,1535,1848,972
2419,1858,2419,110,1574,1314,288,1627
53,1750,257,638,1828,2,47,1233
1075,1075,672,1709,2532,662,1441,2551
343,343,2395,2480,2374,15,436,668
2552,2552,2482,2498,2069,2424,1262,166
838,838,299,193,564,1402,132,2108
432,432,747,2692,700,1968,1561,252
1124,1124,868,1762,1276,319,1631,1199
976,976,181,2470,361,843,1790,1304
2388,2388,360,2444,894,1185,2634,1875
353,353,803,2009,817,237,2132,178
37,277,37,2594,1111,2206,1464,1694
1555,1555,216,2396,2133,656,282,49
1554,1554,2582,1189,1929,1944,660,1390
2553,2553,2328,1249,1320,2305,2660,1869
38,38,2170,1612,386,1189,2264,347
2037,2037,1710,525,1551,1579,1851,1187
845,57,845,1556,2530,848,181,1168
2392,2392,1475,2686,2162,1929,392,145
2393,2393,164,78,542,2049,63,1942
848,848,2530,946,1265,2706,643,845
1424,1424,588,547,279,2650,1839,1767
1909,1909,570,1047,1813,1320,903,2576
849,1045,701,1601,2381,849,167,2460
2128,2128,1161,2386,906,1536,1282,2716
307,307,2213,1881,1711,2117,2662,686
1600,1600,2697,1941,1254,1668,1790,1333
2586,1704,2051,2586,2033,1308,1050,1725
338,338,803,724,1904,1509,624,764
2267,2267,1728,1543,805,1102,107,1210
777,777,1716,1996,213,982,1353,2721
1116,1116,2372,876,2551,1198,1646,87
431,431,2069,2063,519,3,2552,1040
435,435,2293,65,295,1609,321,2015
1913,1913,1566,2331,2396,2417,2067,2391
